dates,reservas.internacionais,divida.liquida,nfsp,juros.de.mora,juros.eua,transacoes.correntes,conta.capital,dolar.diario,ipca,meta.selic,selic.efetiva,pib.var.acum.12.meses,desemprego.pnadc
-1.7764556380518024,-1.28481515961196,0.8115638307001917,2.2502146294292293,1.0097390008239684,0.17434065235842403,0.2769861717489122,-0.2277543462104613,0.18125126530113964,0.29974961730759925,1.1895313562895669,1.222723332274761,-0.9959613529938709,1.0302067368695031
-1.774108715690626,-1.2859019878907096,0.8115638307001917,2.2502146294292293,1.0097390008239684,0.17434065235842403,0.2769861717489122,-0.2277543462104613,0.08341447839287552,0.29974961730759925,1.1895313562895669,1.222723332274761,-0.9959613529938709,1.0302067368695031
-1.7717617933294494,-1.2880579003130466,0.8115638307001917,2.2502146294292293,1.0097390008239684,0.17434065235842403,0.2769861717489122,-0.2277543462104613,-0.029584244896916554,0.29974961730759925,1.1895313562895669,1.222723332274761,-0.9959613529938709,1.0302067368695031
-1.7694148709682729,-1.2900127125368657,0.8115638307001917,2.2502146294292293,1.0097390008239684,0.17434065235842403,0.2769861717489122,-0.2277543462104613,-0.087531473857216,0.29974961730759925,1.1895313562895669,1.222723332274761,-0.9959613529938709,1.0302067368695031
-1.7670679486070964,-1.2927172144713333,0.8115638307001917,2.2502146294292293,1.0097390008239684,0.17434065235842403,0.2769861717489122,-0.2277543462104613,-0.09649523667504951,0.29974961730759925,1.1895313562895669,1.222723332274761,-0.9959613529938709,1.0302067368695031
-1.6520687529093403,-1.2892053543869375,0.9918333098979838,-1.6337090662214704,1.435800264592364,0.17434065235842403,0.4495779340697306,-0.445812197824476,0.6709557813491255,0.28196100803385354,1.5275120737064378,1.7504235828530461,-0.3896521133170078,1.1861575070085981
-1.6497218305481638,-1.2957765991090662,0.9918333098979838,-1.6337090662214704,1.435800264592364,0.17434065235842403,0.4495779340697306,-0.445812197824476,-0.013120854748734787,0.28196100803385354,1.1895313562895669,1.222723332274761,-0.3896521133170078,1.1861575070085981
-1.6473749081869873,-1.2898604087100478,0.9918333098979838,-1.6337090662214704,1.435800264592364,0.17434065235842403,0.4495779340697306,-0.445812197824476,-0.003457560531323421,0.28196100803385354,1.1895313562895669,1.222723332274761,-0.3896521133170078,1.1861575070085981
-1.6450279858258108,-1.2907609235695834,0.9918333098979838,-1.6337090662214704,1.435800264592364,0.17434065235842403,0.4495779340697306,-0.445812197824476,0.003147317334448222,0.28196100803385354,1.1895313562895669,1.222723332274761,-0.3896521133170078,1.1861575070085981
-1.6426810634646343,-1.2922928339053452,0.887982414273169,-0.16922350244005974,0.5687795352345476,0.17434065235842403,0.4764255415418579,-0.2655510404902238,0.06659318845886354,0.24282606763161274,1.1895313562895669,1.222723332274761,-0.41996757530085094,1.5682368938493796
-1.6403341411034578,-1.2922632603467399,0.887982414273169,-0.16922350244005974,0.5687795352345476,0.17434065235842403,0.4764255415418579,-0.2655510404902238,0.08829493001783072,0.24282606763161274,1.1895313562895669,1.222723332274761,-0.41996757530085094,1.5682368938493796
-1.6379872187422813,-1.2929340872344395,0.887982414273169,-0.16922350244005974,0.5687795352345476,0.17434065235842403,0.4764255415418579,-0.2655510404902238,0.0745645927796236,0.24282606763161274,1.1895313562895669,1.222723332274761,-0.41996757530085094,1.5682368938493796
-1.6356402963811048,-1.2941234371830217,0.887982414273169,-0.16922350244005974,0.5687795352345476,0.17434065235842403,0.4764255415418579,-0.2655510404902238,0.07118081298632169,0.24282606763161274,1.157342716535589,1.2001720395150048,-0.41996757530085094,1.5682368938493796
-1.6332933740199282,-1.29454781774901,0.8331177901694928,-0.17934667453993125,0.9423511873324941,0.17434065235842403,0.4955480015751968,-0.4283675696953548,-0.007459530863787459,0.3282113921455925,1.1332012367200883,1.1658940745201758,-0.35933665133316456,1.576034432356334
-1.6309464516587517,-1.295004729229464,0.8331177901694928,-0.17934667453993125,0.9423511873324941,0.17434065235842403,0.4955480015751968,-0.4283675696953548,-0.05515781141168072,0.3282113921455925,1.1332012367200883,1.1663451003753715,-0.35933665133316456,1.576034432356334
-1.628599529297575,-1.2885562147755478,0.8331177901694928,-0.17934667453993125,0.9423511873324941,0.17434065235842403,0.4955480015751968,-0.4283675696953548,-0.058866954646646256,0.3282113921455925,1.1332012367200883,1.1663451003753715,-0.35933665133316456,1.576034432356334
-1.6262526069363985,-1.2881362702433508,0.8331177901694928,-0.17934667453993125,0.9423511873324941,0.17434065235842403,0.4955480015751968,-0.4283675696953548,-0.06319428842077321,0.3282113921455925,1.1010125969661104,1.142891755905225,-0.35933665133316456,1.576034432356334
-1.6239056845751687,-1.2885621294872691,0.8331177901694928,-0.17934667453993125,0.9423511873324941,0.17434065235842403,0.4955480015751968,-0.4283675696953548,-0.06363352906701915,0.3282113921455925,1.0768711171506098,1.1077117392000062,-0.35933665133316456,1.576034432356334
-1.6215587622139922,-1.2856934943025415,0.8507528479171029,-1.1275504612278953,1.2828979863510044,0.17434065235842403,0.23256657397587888,0.04554482781243719,-0.12631479610352417,0.41003899480482314,1.0768711171506098,1.0792971103227145,0.21665712635985537,1.3732984311755116
-1.6192118398528157,-1.2864431840131894,0.8507528479171029,-1.1275504612278953,1.2828979863510044,0.17434065235842403,0.23256657397587888,0.04554482781243719,-0.1616818022123653,0.41003899480482314,1.0768711171506098,1.076139929336348,0.21665712635985537,1.3732984311755116
