"dates","reservas.internacionais","divida.liquida","nfsp","juros.de.mora","juros.eua","transacoes.correntes","conta.capital","dolar.diario","ipca","meta.selic","selic.efetiva","pib.var.acum.12.meses","desemprego.pnadc"
2015.37,368252,18.88,1.38,0.01108965,0.25,-2271.9,31.2,3.83235,9.49,14.25,14.15,0.17,8.88
2015.36,368006.6,18.88,1.38,0.01108965,0.25,-2271.9,31.2,3.72504,9.49,14.25,14.15,0.17,8.88
2015.35,369087.8,19.63,1.38,0.01108965,0.25,-2308.2,65.1,3.5702,9.53,14.25,14.15,0.26,8.72
2015.34,368648.2,19.63,1.38,0.01108965,0.25,-2308.2,65.1,3.48106,9.53,14.25,14.15,0.26,8.72
2015.33,368425.4,19.63,1.38,0.01108965,0.25,-2308.2,65.1,3.4899,9.53,14.25,14.15,0.26,8.72
2015.32,367715.8,19.63,1.38,0.01108965,0.25,-2308.2,65.1,3.48958,9.53,14.25,14.15,0.26,8.72
2015.31,368170.6,19.63,1.38,0.01108965,0.25,-2308.2,65.1,3.36766,9.53,14.0357142857143,13.85,0.26,8.72
2015.3,367684.2,20.31,1.18,0.01178198,0.25,-5888.7,54.4,3.2432,9.56,13.75,13.65,0.35,8.55
2015.29,368047.2,20.31,1.18,0.01178198,0.25,-5888.7,54.4,3.15126,9.56,13.75,13.65,0.35,8.55
2015.28,369037.8,20.31,1.18,0.01178198,0.25,-5888.7,54.4,3.19164,9.56,13.75,13.65,0.35,8.55
2015.27,368685.2,20.31,1.18,0.01178198,0.25,-5888.7,54.4,3.12102,9.56,13.75,13.65,0.35,8.55
2015.26,368523.8,20.96,1.73,0.01066676,0.25,-3144.7,18.8,3.09874,8.89,13.75,13.65,0.51,8.31
2015.25,368943.8,20.96,1.73,0.01066676,0.25,-3144.7,18.8,3.08734,8.89,13.75,13.65,0.51,8.31
2015.24,368132.8,20.96,1.73,0.01066676,0.25,-3144.7,18.8,3.1129,8.89,13.75,13.65,0.51,8.31
2015.23,367490.25,20.96,1.73,0.01066676,0.25,-3144.7,18.8,3.1525,8.89,13.5357142857143,13.275,0.51,8.31
2015.22,366474.8,20.13,1.81,0.00985322,0.25,-3463,36,3.15678,8.47,13.25,13.15,0.18,8.14
2015.21,367662.2,20.13,1.81,0.00985322,0.25,-3463,36,3.03448,8.47,13.25,13.15,0.18,8.14
2015.2,368651.8,20.13,1.81,0.00985322,0.25,-3463,36,3.01186,8.47,13.25,13.15,0.18,8.14
2015.19,367143.4,20.13,1.81,0.00985322,0.25,-3463,36,3.04374,8.47,13.25,13.15,0.18,8.14
2015.18,364960.5,20.13,1.81,0.00985322,0.25,-3463,36,2.93725,8.47,13.0357142857143,12.7875,0.18,8.14
